Model_Family,Model_Version,Strategy,Target,Type,N,Avg_Final_Stance,Avg_Trust,Avg_Deviation,Avg_Abs_Shift,TAD_Count,TAD_Rate,Neutral_Avg_Shift
gemini,gemini-2.5-flash,eco-emotional,Economic,Emotional,30,4.066666666666666,3.6666666666666665,0.06666666666666667,0.06666666666666667,3,10.0,0.2
gemini,gemini-2.5-flash,eco-rational,Economic,Rational,30,4.066666666666666,3.8666666666666667,0.06666666666666667,0.06666666666666667,1,3.3333333333333335,0.2
gemini,gemini-2.5-flash,env-emotional,Environmental,Emotional,30,4.033333333333333,3.7333333333333334,0.03333333333333333,0.03333333333333333,4,13.333333333333334,0.2
gemini,gemini-2.5-flash,env-rational,Environmental,Rational,30,4.133333333333334,3.7666666666666666,0.13333333333333333,0.13333333333333333,3,10.0,0.4
gpt,gpt-4o,eco-emotional,Economic,Emotional,30,4.466666666666667,3.8333333333333335,0.4666666666666667,0.4666666666666667,12,40.0,0.3
gpt,gpt-4o,eco-rational,Economic,Rational,30,4.766666666666667,5.0,0.7666666666666667,0.7666666666666667,0,0.0,0.2
gpt,gpt-4o,env-emotional,Environmental,Emotional,30,5.266666666666667,4.666666666666667,1.2666666666666666,1.2666666666666666,2,6.666666666666667,1.6
gpt,gpt-4o,env-rational,Environmental,Rational,30,5.333333333333333,5.5,1.3333333333333333,1.3333333333333333,0,0.0,1.5
llama,llama8b,eco-emotional,Economic,Emotional,30,4.833333333333333,6.866666666666666,0.8333333333333334,0.8333333333333334,0,0.0,0.5
llama,llama8b,eco-rational,Economic,Rational,30,5.466666666666667,7.0,1.4666666666666666,1.4666666666666666,0,0.0,1.4
llama,llama8b,env-emotional,Environmental,Emotional,30,5.366666666666666,6.8,1.3666666666666667,1.3666666666666667,0,0.0,0.9
llama,llama8b,env-rational,Environmental,Rational,30,5.466666666666667,6.8,1.4666666666666666,1.4666666666666666,0,0.0,1.3
qwen,qwen8b,eco-emotional,Economic,Emotional,30,5.0,4.933333333333334,1.0,1.0,2,6.666666666666667,0.9
qwen,qwen8b,eco-rational,Economic,Rational,30,4.8,5.2,0.8,0.8,0,0.0,0.4
qwen,qwen8b,env-emotional,Environmental,Emotional,30,4.766666666666667,4.933333333333334,0.7666666666666667,0.7666666666666667,0,0.0,0.5
qwen,qwen8b,env-rational,Environmental,Rational,30,4.566666666666666,4.933333333333334,0.5666666666666667,0.5666666666666667,1,3.3333333333333335,0.6
