Model,Version,Strategy,IVB (Bias),PS (Sensitivity),TAD Rate (%),Avg Trust,N
gemini,gemini-2.5-flash,eco-emotional,0.2,0.13,10.0,3.67,30
gemini,gemini-2.5-flash,eco-rational,0.2,0.13,3.3,3.87,30
gemini,gemini-2.5-flash,env-emotional,0.2,0.17,13.3,3.73,30
gemini,gemini-2.5-flash,env-rational,0.4,0.2,10.0,3.77,30
gpt,gpt-4o,eco-emotional,0.3,1.07,40.0,3.83,30
gpt,gpt-4o,eco-rational,0.2,0.9,0.0,5.0,30
gpt,gpt-4o,env-emotional,1.6,1.33,6.7,4.67,30
gpt,gpt-4o,env-rational,1.5,1.33,0.0,5.5,30
llama,llama8b,eco-emotional,0.5,2.03,0.0,6.87,30
llama,llama8b,eco-rational,1.4,1.87,0.0,7.0,30
llama,llama8b,env-emotional,0.9,2.1,0.0,6.8,30
llama,llama8b,env-rational,1.3,2.0,0.0,6.8,30
qwen,qwen8b,eco-emotional,0.9,1.93,6.7,4.93,30
qwen,qwen8b,eco-rational,0.4,1.33,0.0,5.2,30
qwen,qwen8b,env-emotional,0.5,1.23,0.0,4.93,30
qwen,qwen8b,env-rational,0.6,1.5,3.3,4.93,30
